"","Combo","Count"
"1","after pagan gods",1
"2","and platforms were",1
"3","fields and platforms",1
"4","in the years",1
"5","most of the",1
"6","named after pagan",1
"7","of the oil",1
"8","oil fields and",1
"9","platforms were named",1
"10","the oil fields",1
"11","the years thereafter",1
"12","thereafter most of",1
"13","were named after",1
"14","years thereafter most",1
"15","love you mr",1
"16","we love you",1
"17","you mr brown",1
"18","a very good",1
"19","after kyan cashed",1
"20","all of his",1
"21","almost as much",1
"22","also does a",1
"23","and holding down",1
"24","and the money",1
"25","and used his",1
"26","as much as",1
"27","awesome with the",1
"28","bad and used",1
"29","bad we made",1
"30","bank he wanted",1
"31","been awesome with",1
"32","been busy together",1
"33","been saving and",1
"34","birthday he has",1
"35","busy together playing",1
"36","by letting her",1
"37","card from his",1
"38","cashed in his",1
"39","chad has been",1
"40","characters she loves",1
"41","count all of",1
"42","cute to watch",1
"43","did he also",1
"44","does a very",1
"45","down the fort",1
"46","either that is",1
"47","enough it was",1
"48","feel like she",1
"49","fort while i",1
"50","from his birthday",1
"51","from his piggy",1
"52","game so bad",1
"53","get it he",1
"54","gift card from",1
"55","good job of",1
"56","had enough it",1
"57","has been awesome",1
"58","has been saving",1
"59","have been busy",1
"60","he also does",1
"61","he did he",1
"62","he had enough",1
"63","he has been",1
"64","he never taps",1
"65","he realized he",1
"66","he wanted it",1
"67","he wanted that",1
"68","her switch out",1
"69","him count all",1
"70","his birthday he",1
"71","his gift card",1
"72","his i from",1
"73","his money to",1
"74","his piggy bank",1
"75","his reaction when",1
"76","holding down the",1
"77","how we know",1
"78","i from his",1
"79","i work later",1
"80","in his i",1
"81","into that thing",1
"82","is how we",1
"83","is playing too",1
"84","it almost as",1
"85","it he never",1
"86","it so bad",1
"87","it was very",1
"88","job of letting",1
"89","kids and holding",1
"90","kids have been",1
"91","know he wanted",1
"92","kyan cashed in",1
"93","later than usual",1
"94","letting her switch",1
"95","letting lola feel",1
"96","like she is",1
"97","lola feel like",1
"98","loves it almost",1
"99","made him count",1
"100","make sure that",1
"101","money to get",1
"102","money to make",1
"103","much as him",1
"104","never taps into",1
"105","of his money",1
"106","of letting lola",1
"107","on the xbox",1
"108","out the characters",1
"109","piggy bank he",1
"110","playing skylander on",1
"111","playing too by",1
"112","reaction when he",1
"113","realized he did",1
"114","saving and the",1
"115","she is playing",1
"116","she loves it",1
"117","skylander on the",1
"118","so bad and",1
"119","so bad we",1
"120","sure that he",1
"121","switch out the",1
"122","taps into that",1
"123","than usual the",1
"124","that game so",1
"125","that he had",1
"126","that is how",1
"127","that thing either",1
"128","the characters she",1
"129","the fort while",1
"130","the kids and",1
"131","the kids have",1
"132","the money to",1
"133","the xbox together",1
"134","thing either that",1
"135","to get it",1
"136","to make sure",1
"137","to watch his",1
"138","together after kyan",1
"139","together playing skylander",1
"140","too by letting",1
"141","used his gift",1
"142","usual the kids",1
"143","very cute to",1
"144","very good job",1
"145","wanted it so",1
"146","wanted that game",1
"147","was very cute",1
"148","watch his reaction",1
"149","we know he",1
"150","we made him",1
"151","when he realized",1
"152","while i work",1
"153","with the kids",1
"154","work later than",1
"155","xbox together after",1
"156","all these amazing",1
"157","am going to",1
"158","amazing images stored",1
"159","anyways i am",1
"160","away ready to",1
"161","been storing in",1
"162","come to life",1
"163","decor inspiration that",1
"164","folder on the",1
"165","get our home",1
"166","going to share",1
"167","have all these",1
"168","have been storing",1
"169","home decor inspiration",1
"170","i am going",1
"171","i have all",1
"172","i have been",1
"173","images stored away",1
"174","in my folder",1
"175","inspiration that i",1
"176","life when we",1
"177","my folder on",1
"178","on the puter",1
"179","puter i have",1
"180","ready to come",1
"181","share some home",1
"182","so anyways i",1
"183","some home decor",1
"184","stored away ready",1
"185","storing in my",1
"186","that i have",1
"187","the puter i",1
"188","these amazing images",1
"189","to come to",1
"190","to life when",1
"191","to share some",1
"192","we get our",1
"193","when we get",1
"194","a change in",1
"195","a fun set",1
"196","all you need",1
"197","and cut them",1
"198","and gifts but",1
"199","and gives you",1
"200","and red cardstock",1
"201","any occasion that",1
"202","around the corner",1
"203","black and cut",1
"204","brings on a",1
"205","but any occasion",1
"206","can see how",1
"207","cards and gifts",1
"208","cardstock with yes",1
"209","change in ones",1
"210","circle nestabilities i",1
"211","corner nancy has",1
"212","created just one",1
"213","cut machine using",1
"214","cut them out",1
"215","die cut machine",1
"216","do i super",1
"217","double sided and",1
"218","embossed the kraft",1
"219","embossing pad kit",1
"220","fantastic patterns you",1
"221","fun set to",1
"222","gifts but any",1
"223","gives you i",1
"224","graduation cards and",1
"225","graduation season right",1
"226","has whipped up",1
"227","help you out",1
"228","how to use",1
"229","i embossed the",1
"230","i fantastic patterns",1
"231","i stamped the",1
"232","i super easy",1
"233","images in memento",1
"234","impressions plate which",1
"235","impressions plates in",1
"236","in memento tuxedo",1
"237","in ones life",1
"238","in this tutorial",1
"239","is all you",1
"240","is double sided",1
"241","just one pass",1
"242","kit is all",1
"243","kraft and red",1
"244","life i stamped",1
"245","machine using the",1
"246","memento tuxedo black",1
"247","nancy has whipped",1
"248","need to do",1
"249","nestabilities i embossed",1
"250","new stars impressions",1
"251","not only your",1
"252","occasion that brings",1
"253","on a change",1
"254","one pass through",1
"255","ones life i",1
"256","only your graduation",1
"257","out with circle",1
"258","out with not",1
"259","pad kit is",1
"260","pass through your",1
"261","patterns you can",1
"262","plate which is",1
"263","plates in this",1
"264","red cardstock with",1
"265","right around the",1
"266","season right around",1
"267","see how to",1
"268","set to help",1
"269","sided and gives",1
"270","stamped the images",1
"271","stars impressions plate",1
"272","taylor created just",1
"273","that brings on",1
"274","the corner nancy",1
"275","the embossing pad",1
"276","the images in",1
"277","the impressions plates",1
"278","the kraft and",1
"279","them out with",1
"280","this tutorial taylor",1
"281","through your die",1
"282","to do i",1
"283","to help you",1
"284","to use the",1
"285","tutorial taylor created",1
"286","tuxedo black and",1
"287","up a fun",1
"288","use the impressions",1
"289","using the embossing",1
"290","which is double",1
"291","whipped up a",1
"292","with circle nestabilities",1
"293","with graduation season",1
"294","with not only",1
"295","with yes new",1
"296","yes new stars",1
"297","you can see",1
"298","you i fantastic",1
"299","you need to",1
"300","you out with",1
"301","your die cut",1
"302","your graduation cards",1
"303","alternative argument lets",1
"304","an alternative argument",1
"305","argument lets hear",1
"306","have an alternative",1
"307","if you have",1
"308","lets hear it",1
"309","you have an",1
"310","i were a",1
"311","if i were",1
"312","were a bear",1
"313","a halfdozen friends",1
"314","about a halfdozen",1
"315","again because of",1
"316","and as often",1
"317","and keeping away",1
"318","as not the",1
"319","as often as",1
"320","away i one",1
"321","because of it",1
"322","brusquely by laurelwood",1
"323","by laurelwood staff",1
"324","can only guess",1
"325","coming up about",1
"326","ever again because",1
"327","foot in there",1
"328","friends have similar",1
"329","friends of mine",1
"330","halfdozen friends of",1
"331","have similar stories",1
"332","how many others",1
"333","how they were",1
"334","i and keeping",1
"335","i one can",1
"336","in there ever",1
"337","it how many",1
"338","keep coming up",1
"339","keeping away i",1
"340","laurelwood staff and",1
"341","many others there",1
"342","mine refuse to",1
"343","names keep coming",1
"344","not the same",1
"345","of how they",1
"346","of it how",1
"347","of mine refuse",1
"348","often as not",1
"349","one can only",1
"350","other friends have",1
"351","others there telling",1
"352","refuse to step",1
"353","same names keep",1
"354","similar stories of",1
"355","staff and as",1
"356","step foot in",1
"357","stories of how",1
"358","telling i and",1
"359","the same names",1
"360","there ever again",1
"361","there telling i",1
"362","they were treated",1
"363","to step foot",1
"364","treated brusquely by",1
"365","up about a",1
"366","were treated brusquely",1
"367","a complete lack",1
"368","afforded the station",1
"369","although our beloved",1
"370","approximated their very",1
"371","be imitated or",1
"372","beloved cantab can",1
"373","by nothing more",1
"374","can be imitated",1
"375","can claim the",1
"376","cantab can claim",1
"377","claim the international",1
"378","complete lack of",1
"379","distance they share",1
"380","feel like twins",1
"381","imitated or approximated",1
"382","inn otherwise these",1
"383","international recognition afforded",1
"384","joints feel like",1
"385","lack of pretense",1
"386","like twins separated",1
"387","makes them special",1
"388","more than distance",1
"389","nothing more than",1
"390","of pretense that",1
"391","or approximated their",1
"392","ordinariness makes them",1
"393","otherwise these two",1
"394","our beloved cantab",1
"395","pretense that can",1
"396","recognition afforded the",1
"397","separated by nothing",1
"398","share a complete",1
"399","station inn otherwise",1
"400","than distance they",1
"401","that can be",1
"402","the international recognition",1
"403","the station inn",1
"404","their very ordinariness",1
"405","these two joints",1
"406","they share a",1
"407","twins separated by",1
"408","two joints feel",1
"409","very ordinariness makes",1
"410","a disaster or",1
"411","a lot of",4
"412","afford to buy",1
"413","all the regulation",1
"414","also get very",1
"415","america there will",1
"416","americans when prices",1
"417","an impetus for",1
"418","an impetus to",1
"419","and they can",1
"420","and they will",1
"421","are not dealing",1
"422","as an impetus",1
"423","as far as",1
"424","as loss of",1
"425","bad as far",1
"426","bad for most",1
"427","be a disaster",1
"428","be a lot",1
"429","be an impetus",1
"430","be used as",1
"431","blame it on",1
"432","but we are",1
"433","but whether we",1
"434","buy stuff it",1
"435","can afford to",1
"436","capitalism on freedom",1
"437","causing the problem",1
"438","claim we need",1
"439","could also get",1
"440","could be an",1
"441","could be used",1
"442","deal with but",1
"443","dealing with the",1
"444","disaster or it",1
"445","do the right",1
"446","far as loss",1
"447","first we got",1
"448","for more regulation",1
"449","for most americans",1
"450","freedom and they",1
"451","get rid of",1
"452","get very bad",1
"453","go way up",1
"454","got some serious",1
"455","government it could",1
"456","hard to tell",1
"457","have to deal",1
"458","here in america",1
"459","impetus for more",1
"460","impetus to get",1
"461","in america there",1
"462","individual liberty a",1
"463","it could also",1
"464","it could be",2
"465","it on capitalism",1
"466","it will look",1
"467","liberty a lot",1
"468","look pretty bad",1
